,Unnamed: 0,Municipality,Year,lt_ue,treatment,post,int,led,med,hed,lf,s_ltue_lf,s_led_ltue,s_med_ltue,s_hed_ltue,urb,pop,s_u15,s_15-64,s_o64,s_for,ex_births,net_mig,emp,ue,s_pen,dep_r,s_pri,s_sec,s_ser,lt_ue_ratio,lt_ue_med_ratio,lt_ue_led_ratio,lt_ue_change,lt_ue_ratio_change,abs_lt_ue_ratio_change
2781,2782,Tuusula,2011,232.0,0,0,0.0,105.5,102.583333333333,19.3333333333333,18838,1.2315532434441,45.4741379310345,44.2169540229885,8.33333333333333,94.4,37667.0,21.3,66.0,12.7,1.8,234.0,143.0,79.2,4.7,17.3,103.9,1.1,28.2,69.1,0.012315532434441024,0.005445553314223007,0.005600382206179,0.015086206896551725,0.000481032047153258,5.924165778721513e-06
2782,2783,Tuusula,2012,235.5,0,0,0.0,110.583333333333,103.166666666667,16.0833333333333,19113,1.23214566002197,46.95682944090589,43.8075017692852,6.829440905874031,93.6,37936.0,21.0,65.6,13.4,2.0,180.0,-16.0,79.1,5.2,17.6,105.1,1.3,28.4,68.9,0.012321456600219745,0.005397722318142992,0.005785765360400408,0.21231422505307856,0.1948722041790167,0.0024011094063809153
2783,2784,Tuusula,2013,285.5,0,0,1.0,117.666666666667,136.583333333333,28.3333333333333,19392,1.4722566006600701,41.2142440163456,47.8400467016929,9.9241097489784,94.1,38125.0,20.7,65.1,14.2,2.3,170.0,-49.0,78.0,6.9,18.1,109.0,1.1,28.8,68.8,0.01472256600660066,0.007043282453245307,0.0060677942794279596,0.4162288382953869,0.4070141724588424,0.005992293019647252
2784,2785,Tuusula,2014,404.333333333333,0,0,1.0,162.916666666667,193.25,46.6666666666667,19519,2.07148590262479,40.2926628194559,47.794723825226704,11.5416323165705,94.1,38198.0,20.6,64.4,15.0,2.4,166.0,-132.0,77.6,7.8,18.8,112.0,1.1,29.0,68.6,0.020714859026247912,0.009900609662380246,0.00834656830097172,0.31533388293487263,0.31070053405175496,0.006436117762262043
2785,2786,Tuusula,2015,531.833333333333,0,0,1.0,197.166666666667,271.91666666666697,60.0833333333333,19588,2.715097678851,37.073017862739,51.1281729865246,11.2973989345033,94.8,38459.0,20.2,64.1,15.6,2.6,131.0,64.0,76.8,8.7,19.2,115.0,1.0,28.3,69.3,0.027150976788509956,0.013881798379960536,0.010065686474712426,0.22406769037919216,0.22745151628686477,0.00617553083921606
2790,2791,Tyrnävä,2010,33.0,0,0,0.0,18.4166666666667,12.583333333333302,0.0,2625,1.2571428571428602,55.808080808080796,38.1313131313131,0.0,67.4,6416.0,31.5,57.9,10.6,0.3,119.0,-23.0,70.3,9.8,15.4,167.6,19.2,20.3,58.2,0.012571428571428572,0.004793650793650781,0.007015873015873028,-0.030303030303030304,-0.031778415574535784,-0.00039950008150844984
2791,2792,Tyrnävä,2011,32.0,0,0,0.0,12.583333333333302,13.166666666666698,0.0,2629,1.21719284899201,39.3229166666667,41.1458333333333,0.0,68.1,6462.0,31.8,57.4,10.9,0.3,89.0,-36.0,72.3,9.7,15.4,163.0,17.9,19.9,60.2,0.012171928489920122,0.005008241409915062,0.004786357296817536,0.34114583333333437,0.32651331671683054,0.003974296742083902
2792,2793,Tyrnävä,2012,42.9166666666667,0,0,0.0,13.0,23.1666666666667,0.0,2658,1.6146225232004,30.2912621359223,53.980582524271796,0.0,68.7,6613.0,32.5,56.8,10.7,0.4,105.0,45.0,70.9,11.0,14.8,169.5,17.3,20.5,60.4,0.016146225232004024,0.008715826435916741,0.004890895410082769,0.4912621359223289,0.4572701313535113,0.007383186532701858
2793,2794,Tyrnävä,2013,64.0,0,0,1.0,23.1666666666667,30.75,1.9166666666666698,2720,2.35294117647059,36.1979166666667,48.046875,2.9947916666666696,70.3,6642.0,32.7,56.2,11.1,0.3,81.0,-57.0,70.4,13.1,15.0,173.8,18.1,17.9,63.1,0.023529411764705882,0.01130514705882353,0.00851715686274511,0.171875,0.15572878897752,0.0036642067994710585
2794,2795,Tyrnävä,2014,75.0,0,0,1.0,23.8333333333333,39.4166666666667,6.0,2758,2.71936185641769,31.7777777777778,52.5555555555556,8.0,70.8,6735.0,32.8,55.7,11.5,0.3,85.0,-1.0,70.7,14.0,15.1,175.2,16.0,17.9,64.9,0.02719361856417694,0.014291757312061892,0.00864152767706066,0.004444444444444002,-0.007431824515307651,-0.00020209820110517543
2795,2796,Tyrnävä,2015,75.3333333333333,0,0,1.0,22.3333333333333,41.5,1.33333333333333,2791,2.69915203630718,29.646017699115,55.0884955752212,1.76991150442478,71.2,6793.0,32.5,55.6,11.9,0.3,89.0,-15.0,70.3,14.6,15.2,179.9,16.2,16.5,65.6,0.026991520363071765,0.014869222500895736,0.00800191090409649,0.23893805309734523,0.21499511812884434,0.005803045108935721
2800,2801,Ulvila,2010,148.166666666667,1,0,0.0,59.0,76.75,11.25,6579,2.2521153164108,39.82002249718779,51.7997750281215,7.592800899887509,84.9,13606.0,17.8,62.9,19.3,0.6,19.0,-109.0,70.5,10.7,25.8,139.2,3.9,30.8,63.8,0.02252115316410807,0.011665906672746617,0.008967928256573948,0.21147356580427176,0.23188324411534847,0.005222278056912024
2801,2802,Ulvila,2011,179.5,1,0,0.0,76.5,88.4166666666667,11.666666666666698,6470,2.77434312210201,42.6183844011142,49.2571959145775,6.499535747446611,85.2,13554.0,17.7,62.1,20.2,0.7,6.0,-68.0,72.4,9.6,26.2,135.1,3.3,33.5,61.7,0.027743431221020094,0.013665636269963942,0.011823802163833075,0.05942432683379943,0.07639374915431571,0.00211942472537862
2802,2803,Ulvila,2012,190.166666666667,1,0,0.0,77.9166666666667,93.5,12.416666666666698,6368,2.98628559463987,40.9728308501315,49.16739702015779,6.52936021034181,85.0,13470.0,17.6,61.6,20.8,0.8,-15.0,-89.0,71.7,10.9,26.6,139.2,3.0,31.4,64.2,0.029862855946398714,0.014682788944723617,0.012235657453936354,0.20113935144609957,0.19888015517378702,0.0059391294245522246
2803,2804,Ulvila,2013,228.416666666667,1,0,1.0,94.3333333333333,112.333333333333,19.75,6380,3.5801985370950895,41.2987960598322,49.179131703757704,8.64647938708501,85.2,13361.0,17.6,60.6,21.9,0.8,20.0,-142.0,71.5,12.0,27.1,142.6,3.4,34.2,60.9,0.03580198537095094,0.017607105538139968,0.014785788923719952,0.04232032105070845,0.05105162767559992,0.0018277496272050622
2804,2805,Ulvila,2014,238.083333333333,1,0,1.0,93.5,123.583333333333,19.9166666666667,6327,3.76297349981561,39.2719635981799,51.907595379769,8.36541827091355,84.9,13322.0,17.6,59.4,22.9,0.9,24.0,-85.0,71.7,13.2,27.2,146.7,3.7,32.8,62.0,0.037629734998156,0.019532690585322112,0.014777935830567409,0.1410570528526455,0.15234923757361332,0.005732861437066181
2805,2806,Ulvila,2015,271.66666666666697,1,0,1.0,107.833333333333,140.0,21.3333333333333,6265,4.33625964352221,39.6932515337423,51.5337423312883,7.85276073619632,85.1,13352.0,17.8,58.5,23.7,0.9,-1.0,20.0,69.7,15.1,27.8,156.9,3.6,33.7,61.3,0.04336259643522218,0.0223463687150838,0.017212024474594256,0.1171779141104282,0.12417597685541812,0.005384592771330986
2810,2811,Urjala,2010,67.5833333333333,1,0,0.0,34.0,31.9166666666667,0.0,2451,2.75737794097647,50.308261405672,47.2256473489519,0.0,52.0,5335.0,13.9,60.8,25.2,2.0,-30.0,-15.0,64.8,14.5,32.3,164.6,14.6,33.8,49.3,0.027573779409764708,0.013021895824833415,0.0138718890248878,-0.09987669543773124,-0.07107274969173866,-0.0019597443220454244
2811,2812,Urjala,2011,60.8333333333333,1,0,0.0,30.0833333333333,27.9166666666667,0.0,2375,2.5614035087719302,49.4520547945205,45.890410958904106,0.0,51.8,5246.0,13.5,60.2,26.3,2.0,-39.0,-55.0,67.4,12.4,33.0,155.7,15.0,33.8,49.1,0.025614035087719284,0.011754385964912295,0.012666666666666652,-0.04794520547945099,-0.04229981491473783,-0.0010834689434301263
2812,2813,Urjala,2012,57.9166666666667,1,0,0.0,33.0,21.25,0.0,2361,2.45305661442891,56.97841726618711,36.6906474820144,0.0,51.5,5174.0,13.7,59.0,27.3,1.8,-37.0,-44.0,67.9,13.2,33.3,158.3,15.4,34.0,49.1,0.024530566144289157,0.009000423549343498,0.01397712833545108,0.6302158273381291,0.6420390649937383,0.015749581751046463
2813,2814,Urjala,2013,94.4166666666667,1,0,1.0,45.1666666666667,42.8333333333333,0.0,2344,4.02801478953356,47.837599293909996,45.36628420123571,0.0,51.2,5105.0,13.9,58.1,28.1,1.9,-35.0,-47.0,65.9,15.8,33.9,170.7,14.8,32.4,51.0,0.04028014789533562,0.01827360637087598,0.019269055745164975,0.20300088261252916,0.22229478493444668,0.008954066813521337
2814,2815,Urjala,2014,113.583333333333,1,0,1.0,49.5,54.5833333333333,1.6666666666666698,2307,4.92342147088571,43.5803374908291,48.0557593543654,1.46735143066764,47.3,4984.0,13.5,57.8,28.7,2.0,-44.0,-82.0,62.9,18.2,34.3,185.9,14.8,28.3,54.8,0.04923421470885696,0.023659875740499912,0.021456436931079324,0.02127659574468383,0.05041689985866502,0.002482236472596454
2815,2816,Urjala,2015,116.0,1,0,1.0,50.9166666666667,55.3333333333333,1.75,2243,5.1716451181453404,43.89367816091951,47.7011494252874,1.50862068965517,47.7,4928.0,13.4,57.3,29.3,2.0,-47.0,-16.0,63.8,16.3,35.1,186.5,14.4,29.4,54.5,0.05171645118145341,0.024669341655520864,0.022700252637836246,0.1314655172413793,0.19093249890774933,0.009874351258715525
2820,2821,Utajärvi,2010,30.1666666666667,0,0,0.0,16.9166666666667,12.833333333333302,0.0,1172,2.57394766780432,56.07734806629829,42.5414364640884,0.0,47.0,2998.0,17.1,60.8,22.1,0.7,-18.0,-4.0,59.4,13.4,32.6,196.0,18.2,15.8,63.6,0.025739476678043258,0.010949943117178585,0.014434015927190017,-0.08839779005524961,-0.08761930823633864,-0.002255275140895522
2821,2822,Utajärvi,2011,27.5,0,0,0.0,13.416666666666698,8.75,0.0,1171,2.34842015371477,48.787878787878796,31.818181818181802,0.0,47.1,2951.0,17.0,60.5,22.4,0.7,-21.0,-29.0,60.8,13.4,32.6,189.3,18.1,17.4,62.4,0.023484201537147736,0.007472245943637917,0.011457443780244832,0.05757575757575637,0.05847966847966734,0.0013733483204020937
2822,2823,Utajärvi,2012,29.0833333333333,0,0,0.0,13.666666666666698,9.83333333333333,0.0,1170,2.48575498575499,46.9914040114613,33.810888252149,0.0,47.1,2950.0,17.0,59.8,23.3,0.8,4.0,-6.0,62.2,12.4,32.8,185.9,16.6,17.5,64.6,0.02485754985754983,0.008404558404558402,0.011680911680911708,0.060171919770773706,0.05297211046842554,0.001316756877028525
2823,2824,Utajärvi,2013,30.8333333333333,0,0,1.0,16.75,10.833333333333302,0.0,1178,2.61743067345784,54.324324324324294,35.1351351351351,0.0,47.5,2945.0,16.9,58.8,24.2,0.8,-5.0,-5.0,62.3,12.8,33.4,187.0,16.0,17.3,66.2,0.026174306734578354,0.009196378041878865,0.014219015280135824,0.42432432432432693,0.42432432432432676,0.011106395019807636
2824,2825,Utajärvi,2014,43.9166666666667,0,0,1.0,16.6666666666667,21.0833333333333,0.0,1178,3.7280701754386003,37.9506641366224,48.0075901328273,0.0,46.8,2907.0,17.0,57.7,25.3,1.0,-3.0,-42.0,61.2,16.2,34.2,197.2,14.0,18.7,66.0,0.03728070175438599,0.01789756649688735,0.014148273910582937,0.24478178368121423,0.24478178368121434,0.009125636672325979
2825,2826,Utajärvi,2015,54.6666666666667,0,0,1.0,16.1666666666667,30.0,0.0,1178,4.640633842671191,29.5731707317073,54.878048780487795,0.0,46.6,2861.0,16.8,56.7,26.5,0.9,-19.0,-29.0,61.2,17.4,34.7,201.8,14.2,17.4,66.2,0.04640633842671197,0.025466893039049237,0.01372382569326545,0.24237804878048766,0.2530148471433343,0.01174149262351637
2840,2841,Uurainen,2010,36.75,0,0,0.0,24.5,13.583333333333302,0.0,1475,2.49152542372881,66.6666666666667,36.9614512471655,0.0,39.8,3455.0,24.1,60.0,15.9,0.8,19.0,54.0,69.5,11.9,22.2,152.6,14.8,19.1,63.9,0.024915254237288135,0.009209039548022577,0.016610169491525422,0.08616780045351564,0.07020541460850743,0.0017491857538051853
2841,2842,Uurainen,2011,39.9166666666667,0,0,0.0,15.25,20.0,0.0,1497,2.66644399910933,38.204592901878904,50.10438413361171,0.0,39.6,3507.0,24.4,59.3,16.3,0.8,23.0,22.0,69.9,11.9,22.2,156.0,13.9,21.6,62.5,0.02666443999109332,0.013360053440213761,0.010187040748162993,-0.09812108559499032,-0.13008200073176576,-0.0034685637024335254
2842,2843,Uurainen,2012,36.0,0,0,0.0,18.0,15.583333333333302,0.0,1552,2.31958762886598,50.0,43.287037037037,0.0,41.1,3569.0,24.6,58.6,16.8,0.9,25.0,37.0,69.7,12.8,21.7,159.6,13.9,19.2,64.2,0.023195876288659795,0.010040807560137437,0.011597938144329897,0.14814814814814722,0.1459330713349996,0.003385045469110816
2843,2844,Uurainen,2013,41.3333333333333,0,0,1.0,17.0,19.0833333333333,0.0,1555,2.65809217577706,41.1290322580645,46.16935483870971,0.0,41.2,3594.0,25.0,58.2,16.8,0.9,24.0,2.0,68.9,14.7,21.7,164.1,12.9,17.9,66.6,0.02658092175777061,0.012272240085744887,0.010932475884244373,0.31451612903225834,0.29535651498425963,0.007850848415444409
2844,2845,Uurainen,2014,54.3333333333333,0,0,1.0,23.0,27.3333333333333,0.0,1578,3.4431770173215,42.3312883435583,50.30674846625771,0.0,41.8,3611.0,25.3,57.4,17.3,0.9,13.0,6.0,68.2,17.9,21.7,170.3,13.5,19.4,64.6,0.03443177017321502,0.0173215040135192,0.014575411913814956,0.4432515337423328,0.4278689155143581,0.014732284163253132
2845,2846,Uurainen,2015,78.4166666666667,0,0,1.0,31.0,41.4166666666667,0.4166666666666671,1595,4.916405433646809,39.5324123273114,52.816153028692895,0.53134962805526,41.9,3666.0,25.7,56.7,17.5,1.0,34.0,20.0,68.0,16.1,21.6,173.4,12.3,17.4,68.7,0.04916405433646815,0.025966562173458746,0.019435736677115987,0.03931987247608883,0.018252577763735622,0.0008973707249569085
2850,2851,Uusikaarlepyy,2010,21.25,0,0,0.0,11.0,2.0833333333333304,0.0,3577,0.594073245736651,51.76470588235289,9.80392156862745,0.0,57.1,7458.0,17.1,61.8,21.1,3.8,18.0,-49.0,76.4,4.5,25.5,122.1,20.5,31.2,47.3,0.005940732457366508,0.0005824247507222059,0.0030752026838132512,0.17647058823529413,0.18709035094997103,0.0011114537203485838
2851,2852,Uusikaarlepyy,2011,25.0,0,0,0.0,13.416666666666698,3.25,0.0,3545,0.705218617771509,53.6666666666667,13.0,0.0,57.4,7516.0,17.5,60.8,21.8,4.4,7.0,-2.0,80.0,3.4,25.1,115.4,20.0,32.8,45.5,0.007052186177715092,0.0009167842031029619,0.003784673248707108,0.03,0.03820017059994309,0.00026939471509127705
2852,2853,Uusikaarlepyy,2012,25.75,0,0,0.0,13.583333333333302,7.08333333333333,0.0,3517,0.7321580892806371,52.7508090614887,27.508090614886697,0.0,57.1,7531.0,17.7,59.9,22.4,4.9,30.0,-57.0,79.8,4.3,25.7,119.1,19.5,33.4,45.2,0.007321580892806369,0.002014027106435408,0.0038621931570467167,0.2912621359223301,0.25730036878151585,0.001883845463782779
2853,2854,Uusikaarlepyy,2013,33.25,0,0,1.0,19.6666666666667,8.75,0.0,3612,0.920542635658915,59.14786967418549,26.3157894736842,0.0,58.2,7524.0,17.5,59.7,22.8,5.4,-8.0,-55.0,79.5,4.9,25.8,119.4,20.0,32.8,45.7,0.009205426356589148,0.0024224806201550387,0.005444813584348477,-0.03258145363408422,-0.027194936115343057,-0.00025034098168193707
2854,2855,Uusikaarlepyy,2014,32.1666666666667,0,0,1.0,12.416666666666698,11.416666666666698,0.0,3592,0.89550853749072,38.60103626943,35.4922279792746,0.0,58.6,7533.0,17.6,59.4,23.0,5.8,11.0,-36.0,79.7,4.6,26.1,120.3,20.4,33.9,44.5,0.008955085374907211,0.003178359317000751,0.0034567557535263634,0.010362694300517093,0.006440043795745271,5.76711420090404e-05
2855,2856,Uusikaarlepyy,2015,32.5,0,0,1.0,4.91666666666667,12.25,3.4166666666666696,3606,0.9012756516916249,15.1282051282051,37.6923076923077,10.5128205128205,58.9,7564.0,18.1,58.5,23.4,6.2,12.0,-3.0,79.9,5.1,26.0,123.3,19.9,33.6,45.2,0.009012756516916251,0.003397115917914587,0.001363468293584767,0.49487179487179384,0.504047905219779,0.004542861042607548
2860,2861,Uusikaupunki,2010,77.5833333333333,0,0,0.0,47.4166666666667,25.5,0.4166666666666671,7487,1.03624059480878,61.1170784103115,32.8678839957035,0.537056928034372,75.0,15833.0,14.2,64.8,21.0,0.8,1.0,-44.0,66.3,11.6,29.6,144.2,5.0,39.0,54.9,0.010362405948087792,0.003405903566181381,0.0063331997684876054,0.2255639097744362,0.23563115977392987,0.0024417057315961957
2861,2862,Uusikaupunki,2011,95.0833333333333,0,0,0.0,52.9166666666667,36.5833333333333,0.5,7426,1.2804111679684,55.6529360210342,38.4750219106047,0.525854513584575,75.1,15685.0,14.2,63.6,22.2,0.8,-25.0,-136.0,69.8,9.4,30.1,135.8,4.7,41.1,53.1,0.012804111679683988,0.004926384774216711,0.007125864081156302,0.2699386503067489,0.2858691596915624,0.003660300646468181
2862,2863,Uusikaupunki,2012,120.75,0,0,0.0,67.0833333333333,50.5,0.0,7334,1.64644123261522,55.5555555555556,41.821946169772296,0.0,75.4,15499.0,14.0,62.3,23.7,1.0,-22.0,-197.0,68.1,12.1,30.9,146.2,4.6,38.7,55.7,0.01646441232615217,0.006885737660212708,0.0091468957367512,0.14009661835749068,0.13916465926891494,0.00229126433143189
2863,2864,Uusikaupunki,2013,137.666666666667,0,0,1.0,74.6666666666667,55.5,1.6666666666666698,7340,1.8755676657584,54.237288135593204,40.3147699757869,1.21065375302663,75.6,15463.0,14.1,60.9,25.0,1.1,-9.0,-38.0,69.7,11.2,31.6,144.7,4.3,39.4,55.7,0.01875567665758406,0.007561307901907357,0.010172570390554046,0.2536319612590745,0.28478896895303085,0.0053414098173297925
2864,2865,Uusikaupunki,2014,172.583333333333,0,0,1.0,88.4166666666667,74.0833333333333,2.5833333333333304,7162,2.40970864749139,51.231289232255,42.9261226460647,1.4968614196040602,75.8,15567.0,13.9,60.4,25.7,1.4,-49.0,149.0,71.3,11.1,31.8,141.1,4.0,42.5,52.6,0.02409708647491385,0.010343944894349805,0.012345248068509732,0.0130371801062289,0.01915610112667662,0.0004616062253717211
2865,2866,Uusikaupunki,2015,174.833333333333,0,0,1.0,87.0,76.1666666666667,7.41666666666667,7119,2.4558692700285603,49.761677788369894,43.5653002859867,4.24213536701621,75.7,15510.0,13.9,59.7,26.4,1.7,-24.0,-79.0,70.8,12.1,32.3,146.2,3.9,43.5,51.7,0.024558692700285573,0.01069906822119212,0.012220817530552043,-0.02764537654909253,-0.047186157694836854,-0.0011588303465347137
2870,2871,Vaala,2010,39.0,0,0,0.0,14.0,18.6666666666667,0.0,1371,2.84463894967177,35.8974358974359,47.8632478632479,0.0,41.7,3370.0,14.3,59.5,26.3,1.0,-35.0,-2.0,58.7,16.5,37.2,206.9,17.9,17.9,62.7,0.028446389496717725,0.013615365912958935,0.010211524434719184,-0.1346153846153846,-0.10253985802397304,-0.0029168887402880733
2871,2872,Vaala,2011,33.75,0,0,0.0,11.75,17.0,0.0,1322,2.55295007564297,34.8148148148148,50.370370370370395,0.0,41.8,3314.0,14.2,58.8,27.1,1.1,-45.0,-11.0,58.6,17.7,37.4,208.0,17.2,18.2,63.3,0.02552950075642965,0.012859304084720122,0.00888804841149773,0.06172839506172741,0.06738018119513584,0.0017201823867895871
2872,2873,Vaala,2012,35.8333333333333,0,0,0.0,15.166666666666698,13.333333333333302,0.0,1315,2.7249683143219303,42.3255813953488,37.2093023255814,0.0,41.6,3250.0,13.7,58.1,28.2,1.1,-31.0,-40.0,56.9,19.9,38.3,221.1,17.8,14.2,66.3,0.02724968314321924,0.010139416983523424,0.011533586818757945,0.5395348837209326,0.5477739847806012,0.014926667519369982
2873,2874,Vaala,2013,55.1666666666667,0,0,1.0,19.25,27.1666666666667,0.4166666666666671,1308,4.21763506625892,34.8942598187311,49.244712990936605,0.7552870090634441,42.3,3193.0,13.4,57.3,29.3,1.0,-35.0,-25.0,57.1,21.2,39.1,224.8,18.2,13.4,67.2,0.04217635066258922,0.02076962283384304,0.014717125382262997,0.04380664652567853,0.080141688018661,0.0033800839365668717
2874,2875,Vaala,2014,57.5833333333333,0,0,1.0,17.8333333333333,27.5833333333333,0.4166666666666671,1264,4.55564345991561,30.9696092619392,47.9015918958032,0.723589001447178,42.1,3139.0,12.9,56.1,30.9,0.9,-26.0,-26.0,57.3,20.8,40.2,230.1,17.3,13.9,67.2,0.04555643459915609,0.021822257383966218,0.01410864978902951,0.2214182344428366,0.2370774425767191,0.010800403007681487
2875,2876,Vaala,2015,70.3333333333333,0,0,1.0,21.9166666666667,37.1666666666667,1.75,1248,5.63568376068376,31.1611374407583,52.84360189573461,2.48815165876777,42.2,3074.0,12.8,55.3,31.9,1.0,-32.0,-32.0,58.8,19.7,41.1,224.3,17.1,14.6,66.5,0.05635683760683758,0.029780982905982932,0.017561431623931652,0.040284360189574424,0.08189573459715735,0.004615384615384667
2880,2881,Vaasa,2010,413.416666666667,0,0,0.0,179.75,200.666666666667,31.3333333333333,31749,1.3021407498398898,43.4791372707115,48.5386010884902,7.5791171134851805,97.6,64345.0,16.2,66.7,17.1,5.1,272.0,-120.0,71.0,7.8,21.8,120.6,0.7,29.0,69.6,0.013021407498398911,0.006320409041754607,0.005661595640807584,0.1709332795807278,0.18296826492103763,0.0023825043368118377
2881,2882,Vaasa,2011,484.083333333333,0,0,0.0,206.0,242.583333333333,34.25,31426,1.54039118352108,42.5546565673954,50.1118953348253,7.07522809433638,97.6,65173.0,16.2,66.3,17.5,5.6,212.0,253.0,71.5,7.8,21.8,119.6,0.6,29.1,69.6,0.015403911835210749,0.007719192176329568,0.006555081779418316,0.10122224134963008,0.09325573074248843,0.0014365030544854444
2882,2883,Vaasa,2012,533.083333333333,0,0,0.0,212.416666666667,278.41666666666697,40.25,31655,1.6840414889696202,39.8468031889948,52.22760669063621,7.550414256682821,97.7,65674.0,16.1,66.1,17.8,5.6,242.0,71.0,71.7,8.1,21.9,119.7,0.5,28.9,69.9,0.016840414889696193,0.008795345653661885,0.0067103669773074396,0.23057683289041808,0.2094482627032473,0.0035271956418487654
2883,2884,Vaasa,2013,656.0,0,0,1.0,254.083333333333,340.25,59.5,32208,2.0367610531545,38.732215447154495,51.8673780487805,9.07012195121951,98.0,66321.0,16.1,65.8,18.1,5.7,149.0,-25.0,71.0,9.5,21.9,122.3,0.6,28.7,70.2,0.02036761053154496,0.010564145553899652,0.007888826792515307,0.16272865853658536,0.15132550294052144,0.003082138907382702
2884,2885,Vaasa,2014,762.75,0,0,1.0,302.08333333333303,383.833333333333,75.0833333333333,32527,2.3449749438927703,39.60450125641871,50.3222986998798,9.843767070905711,98.3,66965.0,16.2,65.5,18.4,5.9,145.0,85.0,69.4,11.2,21.8,127.9,0.5,28.1,70.7,0.02344974943892766,0.011800452957030558,0.009287156311167123,0.20790997487162638,0.19160765960965034,0.0044931516084256405
2885,2886,Vaasa,2015,921.333333333333,0,0,1.0,318.5,472.833333333333,125.166666666667,32972,2.7942901047353303,34.569464544138896,51.3205499276411,13.585383502170801,98.3,67619.0,16.1,65.2,18.7,6.0,194.0,100.0,68.2,12.0,22.0,133.1,0.5,27.8,71.0,0.0279429010473533,0.014340450483238293,0.009659711270168628,0.1783646888567333,0.17434004899453565,0.004871566737645036
2890,2891,Valkeakoski,2010,325.33333333333303,1,0,0.0,129.333333333333,171.5,23.0833333333333,9870,3.2961837217156402,39.7540983606557,52.7151639344262,7.0952868852459,87.6,20844.0,16.2,63.4,20.4,1.7,-20.0,186.0,65.9,13.4,28.0,151.1,1.8,41.2,55.9,0.032961837217156335,0.017375886524822696,0.013103681188787538,-0.0030737704918032817,0.034012388109069105,0.0011211108002178796
2891,2892,Valkeakoski,2011,324.33333333333303,1,0,0.0,126.083333333333,167.666666666667,28.6666666666667,9516,3.40829480173742,38.8746145940391,51.695786228160294,8.83864337101747,87.7,21022.0,16.2,62.6,21.2,1.9,-59.0,132.0,67.7,12.4,28.0,147.6,1.5,40.3,57.0,0.034082948017374215,0.017619447947316836,0.01324961468404088,-0.08016443987667017,-0.08688136969188333,-0.002961173206886731
2892,2893,Valkeakoski,2012,298.33333333333303,1,0,0.0,114.416666666667,154.25,26.1666666666667,9586,3.11217748104875,38.3519553072626,51.7039106145251,8.77094972067039,87.6,21172.0,16.6,61.5,21.9,2.1,12.0,37.0,67.5,12.7,28.1,152.3,1.5,37.8,59.5,0.031121774810487484,0.016091174629668265,0.011935809166145107,0.19804469273743258,0.18445301408632736,0.005740505167510356
2893,2894,Valkeakoski,2013,357.416666666667,1,0,1.0,128.583333333333,192.75,34.3333333333333,9696,3.68622799779978,35.975751923525294,53.9286546980648,9.60596875728608,87.6,21129.0,16.6,60.6,22.8,2.3,-48.0,-68.0,66.3,14.7,28.6,160.4,1.7,39.3,58.0,0.03686227997799784,0.019879331683168317,0.01326148239823979,-0.02821170435999266,-0.020228832845428965,-0.0007456808999763212
2894,2895,Valkeakoski,2014,347.333333333333,1,0,1.0,112.5,201.833333333333,31.9166666666667,9617,3.6116599078021605,32.3896353166987,58.1094049904031,9.18905950095969,87.5,21162.0,16.5,59.7,23.7,2.4,-28.0,1.0,65.9,15.2,28.9,166.6,1.7,38.4,58.9,0.03611659907802152,0.020987140827007696,0.011698034730165332,0.10220729366602697,0.11449138294460956,0.0041350393756986945
2895,2896,Valkeakoski,2015,382.833333333333,1,0,1.0,120.75,226.25,35.0833333333333,9511,4.025163845372029,31.541140618197602,59.098824553765795,9.16412712233348,87.6,21332.0,16.5,59.3,24.2,2.6,-55.0,158.0,66.2,14.5,28.9,166.9,1.8,37.9,59.4,0.040251638453720213,0.023788245189780254,0.012695825885816423,0.13757074444928274,0.15579909736749595,0.0062711689386523994
2900,2901,Valtimo,2010,20.6666666666667,0,0,0.0,8.75,6.91666666666667,0.0,1002,2.06254158349967,42.3387096774194,33.4677419354839,0.0,45.6,2458.0,12.4,60.8,26.8,0.4,-26.0,3.0,57.3,16.8,38.2,197.9,27.9,7.6,61.6,0.020625415834996705,0.006902860944777115,0.00873253493013972,0.24596774193548188,0.25979785814263656,0.005358438857233364
2901,2902,Valtimo,2011,25.75,0,0,0.0,14.583333333333302,7.66666666666667,0.0,991,2.5983854692230097,56.634304207119705,29.7734627831715,0.0,45.8,2437.0,13.0,60.2,26.8,0.5,-21.0,0.0,59.0,16.6,38.1,190.5,29.1,8.3,60.7,0.02598385469223007,0.00773629330642449,0.014715775311133503,0.44660194174757284,0.4466019417475728,0.011604439959636729
2902,2903,Valtimo,2012,37.25,0,0,0.0,20.0833333333333,12.833333333333302,0.0,991,3.75882946518668,53.9149888143177,34.4519015659955,0.0,47.0,2421.0,13.1,59.1,27.8,0.7,-23.0,6.0,60.2,14.8,38.4,191.7,28.9,8.9,60.7,0.0375882946518668,0.012949882273797479,0.02026572485704672,0.1722595078299785,0.15478048932356744,0.005817934639054376
2903,2904,Valtimo,2013,43.6666666666667,0,0,1.0,22.4166666666667,18.25,0.0,1006,4.34062292909211,51.335877862595396,41.793893129771,0.0,46.7,2379.0,13.2,57.5,29.3,0.7,-20.0,-25.0,60.1,15.9,39.4,198.1,28.6,8.5,62.0,0.043406229290921174,0.018141153081510934,0.022282968853545426,-0.24809160305343644,-0.2233882470962599,-0.009696441474357213
